# Source: https://en.wikipedia.org/wiki/List_of_birds_of_Europe (fetched 2026-09-13)
# scientific	english (Wikipedia)	status tags
Streptopelia orientalis	Oriental turtle dove	A
Streptopelia turtur	European turtle dove	
Streptopelia decaocto	Eurasian collared dove	
Streptopelia roseogrisea	African collared dove	I
Columba junoniae	Laurel pigeon	E-Canary Islands
Columba palumbus	Common wood pigeon	
Columba trocaz	Trocaz pigeon	E-Madeira
Columba bollii	Bolle's pigeon	E-Canary Islands
Columba livia	Rock dove	
Columba oenas	Stock dove	
Leucogeranus leucogeranus	Siberian crane	
Antigone canadensis	Sandhill crane	A
Grus virgo	Demoiselle crane	
Grus grus	Common crane	
Rallus aquaticus	Water rail	
Crecopsis egregia	African crake	A
Crex crex	Corn crake	
Porzana carolina	Sora	A
Porzana porzana	Spotted crake	
Paragallinula angulata	Lesser moorhen	A
Gallinula chloropus	Common moorhen	
Gallinula galeata	Common gallinule	A
Fulica atra	Eurasian coot	
Fulica cristata	Red-knobbed coot	
Fulica americana	American coot	A
Porphyrio alleni	Allen's gallinule	A
Porphyrio martinica	Purple gallinule	A
Porphyrio porphyrio	Purple swamphen	
Zapornia parva	Little crake	
Zapornia pusilla	Baillon's crake	
Aenigmatolimnas marginalis	Striped crake	A
Burhinus oedicnemus	Eurasian stone-curlew	
Pluvianus aegyptius	Egyptian plover	A-Canary Islands
Recurvirostra avosetta	Pied avocet	
Himantopus himantopus	Black-winged stilt	
Haematopus meadewaldoi	Canary Islands oystercatcher	Ext-formerly endemic to the Canary Islands
Haematopus ostralegus	Eurasian oystercatcher	
Pluvialis squatarola	Grey plover	
Pluvialis apricaria	European golden plover	
Pluvialis dominica	American golden plover	A
Pluvialis fulva	Pacific golden plover	A
Eudromias morinellus	Eurasian dotterel	
Charadrius vociferus	Killdeer	A
Charadrius semipalmatus	Semipalmated plover	Azores, elsewhere A
Charadrius hiaticula	Common ringed plover	
Thinornis dubius	Little ringed plover	
Vanellus vanellus	Northern lapwing	
Vanellus spinosus	Spur-winged lapwing	
Vanellus cinereus	Grey-headed lapwing	A
Vanellus gregarius	Sociable lapwing	A
Vanellus leucurus	White-tailed lapwing	A
Anarhynchus asiaticus	Caspian plover	A
Anarhynchus veredus	Oriental plover	A
Anarhynchus atrifrons	Tibetan sand plover	A
Anarhynchus mongolus	Siberian sand plover	A
Anarhynchus leschenaultii	Greater sand plover	A
Anarhynchus pecuarius	Kittlitz's plover	A
Anarhynchus alexandrinus	Kentish plover	
Bartramia longicauda	Upland sandpiper	A
Numenius borealis	Eskimo curlew	A, possibly Ext
Numenius minutus	Little curlew	A
Numenius hudsonicus	Hudsonian whimbrel	A
Numenius phaeopus	Eurasian whimbrel	
Numenius tenuirostris	Slender-billed curlew	Ext
Numenius arquata	Eurasian curlew	
Limosa lapponica	Bar-tailed godwit	
Limosa limosa	Black-tailed godwit	
Limosa haemastica	Hudsonian godwit	A
Limnodromus scolopaceus	Long-billed dowitcher	A
Limnodromus griseus	Short-billed dowitcher	A
Lymnocryptes minimus	Jack snipe	
Scolopax minor	American woodcock	A
Scolopax rusticola	Eurasian woodcock	
Gallinago megala	Swinhoe's snipe	A
Gallinago stenura	Pin-tailed snipe	
Gallinago media	Great snipe	
Gallinago delicata	Wilson's snipe	A
Gallinago gallinago	Common snipe	
Xenus cinereus	Terek sandpiper	
Actitis hypoleucos	Common sandpiper	
Actitis macularius	Spotted sandpiper	A
Phalaropus tricolor	Wilson's phalarope	A
Phalaropus fulicarius	Red phalarope	
Phalaropus lobatus	Red-necked phalarope	
Tringa ochropus	Green sandpiper	
Tringa solitaria	Solitary sandpiper	A
Tringa brevipes	Grey-tailed tattler	A
Tringa stagnatilis	Marsh sandpiper	
Tringa glareola	Wood sandpiper	
Tringa totanus	Common redshank	
Tringa flavipes	Lesser yellowlegs	A
Tringa semipalmata	Willet	A
Tringa erythropus	Spotted redshank	
Tringa nebularia	Common greenshank	
Tringa melanoleuca	Greater yellowlegs	A
Arenaria interpres	Ruddy turnstone	
Calidris canutus	Red knot	
Calidris tenuirostris	Great knot	A
Calidris pugnax	Ruff	
Calidris acuminata	Sharp-tailed sandpiper	A
Calidris falcinellus	Broad-billed sandpiper	
Calidris ferruginea	Curlew sandpiper	
Calidris himantopus	Stilt sandpiper	A
Calidris ruficollis	Red-necked stint	A
Calidris temminckii	Temminck's stint	
Calidris subminuta	Long-toed stint	A
Calidris subruficollis	Buff-breasted sandpiper	A
Calidris alba	Sanderling	
Calidris alpina	Dunlin	
Calidris maritima	Purple sandpiper	
Calidris bairdii	Baird's sandpiper	A
Calidris melanotos	Pectoral sandpiper	A
Calidris pusilla	Semipalmated sandpiper	A
Calidris mauri	Western sandpiper	A
Calidris minuta	Little stint	
Calidris minutilla	Least sandpiper	A
Calidris fuscicollis	White-rumped sandpiper	A
Turnix sylvaticus	Common buttonquail	Ex
Cursorius cursor	Cream-coloured courser	Canary Islands, elsewhere A
Glareola maldivarum	Oriental pratincole	A
Glareola nordmanni	Black-winged pratincole	
Glareola pratincola	Collared pratincole	
Stercorarius parasiticus	Arctic skua	
Stercorarius longicaudus	Long-tailed skua	
Stercorarius pomarinus	Pomarine skua	
Stercorarius skua	Great skua	
Stercorarius maccormicki	South polar skua	A
Fratercula cirrhata	Tufted puffin	A
Fratercula arctica	Atlantic puffin	
Fratercula corniculata	Horned puffin	A
Aethia cristatella	Crested auklet	A
Aethia psittacula	Parakeet auklet	A
Synthliboramphus antiquus	Ancient murrelet	A
Brachyramphus perdix	Long-billed murrelet	A
Cepphus grylle	Black guillemot	
Alca torda	Razorbill	
Pinguinus impennis	Great auk	Ext
Alle alle	Little auk	
Uria lomvia	Brünnich's guillemot	
Uria aalge	Common guillemot	
Anous stolidus	Brown noddy	A
Onychoprion aleuticus	Aleutian tern	A
Onychoprion fuscatus	Sooty tern	A
Onychoprion anaethetus	Bridled tern	A
Sternula albifrons	Little tern	
Sternula antillarum	Least tern	A
Hydroprogne caspia	Caspian tern	
Gelochelidon nilotica	Gull-billed tern	
Chlidonias hybrida	Whiskered tern	
Chlidonias niger	Black tern	
Chlidonias leucopterus	White-winged tern	
Thalasseus sandvicensis	Sandwich tern	
Thalasseus elegans	Elegant tern	A
Thalasseus maximus	Royal tern	A
Thalasseus albididorsalis	West African crested tern	A
Thalasseus bengalensis	Lesser crested tern	A
Sterna forsteri	Forster's tern	A
Sterna dougallii	Roseate tern	
Sterna paradisaea	Arctic tern	
Sterna hirundo	Common tern	
Hydrocoloeus minutus	Little gull	
Rhodostethia rosea	Ross's gull	A
Rissa tridactyla	Black-legged kittiwake	
Xema sabini	Sabine's gull	
Pagophila eburnea	Ivory gull	
Chroicocephalus genei	Slender-billed gull	
Chroicocephalus philadelphia	Bonaparte's gull	A
Chroicocephalus ridibundus	Black-headed gull	
Chroicocephalus cirrocephalus	Grey-headed gull	A
Leucophaeus atricilla	Laughing gull	A
Leucophaeus pipixcan	Franklin's gull	A
Ichthyaetus ichthyaetus	Pallas's gull	
Ichthyaetus relictus	Relict gull	A
Ichthyaetus audouinii	Audouin's gull	
Ichthyaetus melanocephalus	Mediterranean gull	
Ichthyaetus leucophthalmus	White-eyed gull	A
Larus delawarensis	Ring-billed gull	A
Larus brachyrhynchus	Short-billed gull	A-Azores
Larus canus	Common gull	
Larus cachinnans	Caspian gull	
Larus dominicanus	Kelp gull	A
Larus smithsonianus	American herring gull	A
Larus vegae	Vega gull	A
Larus argentatus	European herring gull	
Larus michahellis	Yellow-legged gull	
Larus armenicus	Armenian gull	
Larus marinus	Great black-backed gull	
Larus hyperboreus	Glaucous gull	
Larus fuscus	Lesser black-backed gull	
Larus glaucescens	Glaucous-winged gull	A
Larus schistisagus	Slaty-backed gull	A
Larus glaucoides	Iceland gull	
Phaethon aethereus	Red-billed tropicbird	A
Phaethon lepturus	White-tailed tropicbird	A-Azores
Gavia stellata	Red-throated diver	
Gavia immer	Great northern diver	
Gavia adamsii	White-billed diver	
Gavia arctica	Black-throated diver	
Gavia pacifica	Pacific diver	A
Diomedea dabbenena	Tristan albatross	A
Thalassarche chlororhynchos	Atlantic yellow-nosed albatross	A
Thalassarche melanophris	Black-browed albatross	A
Oceanites oceanicus	Wilson's storm petrel	
Pelagodroma marina	White-faced storm petrel	Madeira and Canary Islands, elsewhere A
Fregetta tropica	Black-bellied storm petrel	A-Madeira and Canary Islands
Hydrobates pelagicus	European storm petrel	
Hydrobates castro	Band-rumped storm petrel	
Hydrobates monteiroi	Monteiro's storm petrel	Azores
Hydrobates monorhis	Swinhoe's storm petrel	A
Hydrobates leucorhous	Leach's storm petrel	
Daption capense	Cape petrel	A
Macronectes giganteus	Southern giant petrel	A
Fulmarus glacialis	Northern fulmar	
Bulweria bulwerii	Bulwer's petrel	
Procellaria aequinoctialis	White-chinned petrel	A
Calonectris edwardsii	Cape Verde shearwater	A-Canary Islands, Madeira
Calonectris diomedea	Scopoli's shearwater	
Calonectris borealis	Cory's shearwater	
Ardenna tenuirostris	Short-tailed shearwater	A
Ardenna grisea	Sooty shearwater	
Ardenna gravis	Great shearwater	
Puffinus puffinus	Manx shearwater	
Puffinus yelkouan	Yelkouan shearwater	
Puffinus lherminieri	Sargasso shearwater	A
Puffinus baroli	Barolo shearwater	Azores, Madeira and Canary Islands, elsewhere A
Puffinus boydi	Boyd's shearwater	A-Canary Islands
Pterodroma mollis	Soft-plumaged petrel	A
Pterodroma hasitata	Black-capped petrel	A
Pterodroma cahow	Bermuda petrel	A
Pterodroma madeira	Zino's petrel	Madeira
Pterodroma feae	Fea's petrel	A-Canary Islands
Pterodroma deserta	Desertas petrel	Madeira, elsewhere A
Pterodroma baraui	Barau's petrel	A–France
Pterodroma arminjoniana	Trindade petrel	A-Azores
Mycteria ibis	Yellow-billed stork	A
Ciconia nigra	Black stork	
Ciconia ciconia	White stork	
Fregata aquila	Ascension frigatebird	A
Fregata magnificens	Magnificent frigatebird	A
Morus bassanus	Northern gannet	
Morus capensis	Cape gannet	A-Azores
Sula sula	Red-footed booby	A
Sula leucogaster	Brown booby	A
Sula dactylatra	Masked booby	A
Microcarbo pygmaeus	Pygmy cormorant	
Gulosus aristotelis	European shag	
Nannopterum auritum	Double-crested cormorant	A
Phalacrocorax carbo	Great cormorant	
Plegadis falcinellus	Glossy ibis	
Geronticus eremita	Northern bald ibis	reintroduced populations in Spain and Central Europe, otherwise A
Platalea leucorodia	Eurasian spoonbill	
Threskiornis aethiopicus	African sacred ibis	I
Pelecanus crispus	Dalmatian pelican	
Pelecanus onocrotalus	Great white pelican	
Botaurus exilis	Least bittern	A
Botaurus stellaris	Eurasian bittern	
Botaurus lentiginosus	American bittern	A
Botaurus eurhythmus	Von Schrenck's bittern	A
Botaurus sturmii	Dwarf bittern	A-Canary Islands
Botaurus minutus	Little bittern	
Egretta caerulea	Little blue heron	A
Egretta tricolor	Tricolored heron	A-Azores, Canary Islands
Egretta ardesiaca	Black heron	A
Egretta thula	Snowy egret	A
Egretta gularis	Western reef heron	A
Egretta garzetta	Little egret	
Nyctanassa violacea	Yellow-crowned night heron	A
Nycticorax nycticorax	Black-crowned night heron	
Butorides atricapilla	Little heron	
Butorides virescens	Green heron	A
Ardeola bacchus	Chinese pond heron	A
Ardeola ralloides	Squacco heron	
Ardea alba	Great egret	
Ardea intermedia	Intermediate egret	A
Ardea ibis	Western cattle egret	
Ardea purpurea	Purple heron	
Ardea melanocephala	Black-headed heron	A
Ardea cinerea	Grey heron	
Ardea herodias	Great blue heron	A
Chordeiles minor	Common nighthawk	A
Caprimulgus ruficollis	Red-necked nightjar	
Caprimulgus europaeus	European nightjar	
Caprimulgus aegyptius	Egyptian nightjar	A
Hirundapus caudacutus	White-throated needletail	A
Chaetura pelagica	Chimney swift	A
Tachymarptis melba	Alpine swift	
Apus apus	Common swift	
Apus pallidus	Pallid swift	
Apus unicolor	Plain swift	
Apus pacificus	Pacific swift	A
Apus horus	Horus swift	A
Apus affinis	Little swift	
Apus caffer	White-rumped swift	
Tyto alba	Western barn owl	
Aegolius funereus	Boreal owl	
Athene noctua	Little owl	
Surnia ulula	Northern hawk-owl	
Glaucidium passerinum	Eurasian pygmy owl	
Otus scops	Eurasian scops owl	
Asio capensis	Marsh owl	A
Asio flammeus	Short-eared owl	
Asio otus	Long-eared owl	
Bubo scandiacus	Snowy owl	
Bubo bubo	Eurasian eagle-owl	
Bubo ascalaphus	Pharaoh eagle-owl	A
Strix aluco	Tawny owl	
Strix uralensis	Ural owl	
Strix nebulosa	Great grey owl	
Pandion haliaetus	Osprey	
Elanus caeruleus	Black-winged kite	
Gypaetus barbatus	Bearded vulture	
Neophron percnopterus	Egyptian vulture	
Pernis apivorus	European honey buzzard	
Pernis ptilorhynchus	Crested honey buzzard	A
Elanoides forficatus	Swallow-tailed kite	A-Azores, Canary Islands
Aegypius monachus	Cinereous vulture	
Torgos tracheliotos	Lappet-faced vulture	A
Terathopius ecaudatus	Bateleur	A
Circaetus gallicus	Short-toed snake eagle	
Gyps africanus	White-backed vulture	A
Gyps fulvus	Griffon vulture	
Gyps rueppelli	Rüppell's vulture	A
Clanga clanga	Greater spotted eagle	
Clanga pomarina	Lesser spotted eagle	
Hieraaetus pennatus	Booted eagle	
Aquila nipalensis	Steppe eagle	
Aquila heliaca	Eastern imperial eagle	
Aquila adalberti	Spanish imperial eagle	E
Aquila chrysaetos	Golden eagle	
Aquila fasciata	Bonelli's eagle	
Tachyspiza brevipes	Levant sparrowhawk	
Accipiter nisus	Eurasian sparrowhawk	
Astur atricapillus	American goshawk	
Astur gentilis	Eurasian goshawk	
Circus macrourus	Pallid harrier	
Circus cyaneus	Hen harrier	
Circus hudsonius	Northern harrier	A
Circus pygargus	Montagu's harrier	
Circus aeruginosus	Western marsh harrier	
Milvus milvus	Red kite	
Milvus migrans	Black kite	
Haliaeetus leucoryphus	Pallas's fish eagle	A
Haliaeetus leucocephalus	Bald eagle	A
Haliaeetus albicilla	White-tailed eagle	
Buteo rufinus	Long-legged buzzard	
Buteo buteo	Common buzzard	
Buteo lagopus	Rough-legged buzzard	
Upupa epops	Eurasian hoopoe	
Coracias abyssinicus	Abyssinian roller	A-Canary Islands
Coracias garrulus	European roller	
Merops orientalis	Asian green bee-eater	A
Merops apiaster	European bee-eater	
Merops persicus	Blue-cheeked bee-eater	A
Alcedo atthis	Common kingfisher	
Megaceryle alcyon	Belted kingfisher	A
Ceryle rudis	Pied kingfisher	A
Halcyon smyrnensis	White-throated kingfisher	A
Jynx torquilla	Eurasian wryneck	
Picus canus	Grey-headed woodpecker	
Picus sharpei	Iberian green woodpecker	E
Picus viridis	European green woodpecker	
Dryocopus martius	Black woodpecker	
Colaptes auratus	Northern flicker	A
Sphyrapicus varius	Yellow-bellied sapsucker	A
Picoides tridactylus	Eurasian three-toed woodpecker	
Dendrocoptes medius	Middle spotted woodpecker	
Dendrocopos leucotos	White-backed woodpecker	
Dendrocopos major	Great spotted woodpecker	
Dendrocopos syriacus	Syrian woodpecker	
Dryobates minor	Lesser spotted woodpecker	
Falco naumanni	Lesser kestrel	
Falco tinnunculus	Common kestrel	
Falco sparverius	American kestrel	A
Falco vespertinus	Red-footed falcon	
Falco amurensis	Amur falcon	A
Falco columbarius	Merlin	
Falco eleonorae	Eleonora's falcon	
Falco concolor	Sooty falcon	A
Falco subbuteo	Eurasian hobby	
Falco peregrinus	Peregrine falcon	
Falco biarmicus	Lanner falcon	
Falco cherrug	Saker falcon	
Falco rusticolus	Gyrfalcon	
Myiopsitta monachus	Monk parakeet	I
Psittacara mitratus	Mitred parakeet	I
Psittacara erythrogenys	Red-masked parakeet	I
Psittacula eupatria	Alexandrine parakeet	I
Psittacula krameri	Rose-ringed parakeet	I
Myiarchus crinitus	Great crested flycatcher	A-Azores
Tyrannus tyrannus	Eastern kingbird	A
Tyrannus verticalis	Western kingbird	A-Azores
Sayornis phoebe	Eastern phoebe	A
Contopus virens	Eastern wood pewee	A-Azores
Empidonax virescens	Acadian flycatcher	A
Empidonax alnorum	Alder flycatcher	A
Empidonax flaviventris	Yellow-bellied flycatcher	A
Empidonax minimus	Least flycatcher	A
Tchagra senegalus	Black-crowned tchagra	A
Vireo gilvus	Warbling vireo	A-Azores
Vireo philadelphicus	Philadelphia vireo	A
Vireo olivaceus	Red-eyed vireo	A
Vireo flavifrons	Yellow-throated vireo	A
Vireo griseus	White-eyed vireo	A-Azores
Oriolus oriolus	Eurasian golden oriole	
Lanius excubitor	Great grey shrike	
Lanius meridionalis	Iberian grey shrike	E
Lanius borealis	Northern shrike	A
Lanius nubicus	Masked shrike	
Lanius minor	Lesser grey shrike	
Lanius senator	Woodchat shrike	
Lanius isabellinus	Isabelline shrike	A
Lanius collurio	Red-backed shrike	
Lanius phoenicuroides	Red-tailed shrike	A
Lanius schach	Long-tailed shrike	A
Lanius cristatus	Brown shrike	A
Pyrrhocorax graculus	Alpine chough	
Pyrrhocorax pyrrhocorax	Red-billed chough	
Cyanopica cooki	Iberian magpie	E
Perisoreus infaustus	Siberian jay	
Garrulus glandarius	Eurasian jay	
Pica pica	Eurasian magpie	
Nucifraga caryocatactes	Northern nutcracker	
Coloeus dauuricus	Daurian jackdaw	A
Coloeus monedula	Western jackdaw	
Corvus frugilegus	Rook	
Corvus corax	Northern raven	
Corvus corone	Carrion crow	
Remiz macronyx	Black-headed penduline tit	
Remiz pendulinus	Eurasian penduline tit	
Cyanistes teneriffae	African blue tit	Canary Islands, elsewhere A
Cyanistes cyanus	Azure tit	
Cyanistes caeruleus	Eurasian blue tit	
Parus major	Great tit	
Periparus ater	Coal tit	
Lophophanes cristatus	Crested tit	
Poecile lugubris	Sombre tit	
Poecile palustris	Marsh tit	
Poecile montanus	Willow tit	
Poecile cinctus	Grey-headed chickadee	
Panurus biarmicus	Bearded reedling	
Alaemon alaudipes	Greater hoopoe-lark	A
Ammomanes cinctura	Bar-tailed lark	A
Lullula arborea	Woodlark	
Alauda leucoptera	White-winged lark	
Alauda gulgula	Oriental skylark	A-Caucasus
Alauda arvensis	Eurasian skylark	
Galerida cristata	Crested lark	
Galerida theklae	Thekla's lark	
Eremophila bilopha	Temminck's lark	A
Eremophila alpestris	Horned lark	
Calandrella brachydactyla	Greater short-toed lark	
Melanocorypha bimaculata	Bimaculated lark	A
Melanocorypha yeltoniensis	Black lark	
Melanocorypha calandra	Calandra lark	
Chersophilus duponti	Dupont's lark	
Alaudala rufescens	Mediterranean short-toed lark	
Alaudala heinei	Turkestan short-toed lark	
Cisticola juncidis	Zitting cisticola	
Hippolais icterina	Icterine warbler	
Hippolais polyglotta	Melodious warbler	
Hippolais languida	Upcher's warbler	A
Hippolais olivetorum	Olive-tree warbler	
Arundinax aedon	Thick-billed warbler	A
Iduna caligata	Booted warbler	
Iduna rama	Sykes's warbler	
Iduna pallida	Eastern olivaceous warbler	
Iduna opaca	Western olivaceous warbler	
Acrocephalus schoenobaenus	Sedge warbler	
Acrocephalus paludicola	Aquatic warbler	
Acrocephalus melanopogon	Moustached warbler	
Acrocephalus agricola	Paddyfield warbler	
Acrocephalus dumetorum	Blyth's reed warbler	
Acrocephalus palustris	Marsh warbler	
Acrocephalus scirpaceus	Common reed warbler	
Acrocephalus arundinaceus	Great reed warbler	
Helopsaltes fasciolata	Gray's grasshopper warbler	A
Helopsaltes certhiola	Pallas's grasshopper warbler	A
Locustella lanceolata	Lanceolated warbler	A
Locustella fluviatilis	River warbler	
Locustella luscinioides	Savi's warbler	
Locustella naevia	Common grasshopper warbler	
Riparia riparia	Sand martin	
Riparia paludicola	Brown-throated martin	A
Tachycineta bicolor	Tree swallow	A
Progne subis	Purple martin	A
Ptyonoprogne rupestris	Eurasian crag martin	
Ptyonoprogne obsoleta	Pale rock martin	A
Hirundo rustica	Barn swallow	
Delichon urbicum	Common house martin	
Delichon dasypus	Asian house martin	A
Cecropis semirufa	Red-breasted swallow	A
Cecropis rufula	European red-rumped swallow	
Cecropis daurica	Eastern red-rumped swallow	A
Petrochelidon pyrrhonota	American cliff swallow	A
Aegithalos caudatus	Long-tailed tit	
Cettia cetti	Cetti's warbler	
Phylloscopus sibilatrix	Wood warbler	
Phylloscopus bonelli	Western Bonelli's warbler	
Phylloscopus orientalis	Eastern Bonelli's warbler	
Phylloscopus inornatus	Yellow-browed warbler	
Phylloscopus humei	Hume's leaf warbler	A
Phylloscopus proregulus	Pallas's leaf warbler	
Phylloscopus schwarzi	Radde's warbler	A
Phylloscopus griseolus	Sulphur-bellied warbler	A
Phylloscopus fuscatus	Dusky warbler	A
Phylloscopus neglectus	Plain leaf warbler	A
Phylloscopus trochilus	Willow warbler	
Phylloscopus sindianus	Mountain chiffchaff	Caucasus
Phylloscopus canariensis	Canary Islands chiffchaff	E-Canary Islands
Phylloscopus ibericus	Iberian chiffchaff	
Phylloscopus collybita	Common chiffchaff	
Phylloscopus coronatus	Eastern crowned warbler	A
Phylloscopus nitidus	Green warbler	A
Phyloscopus plumbeitarsus	Two-barred warbler	A
Phylloscopus trochiloides	Greenish warbler	
Phylloscopus tenellipes	Pale-legged leaf warbler	A
Phylloscopus borealis	Arctic warbler	
Phylloscopus examinandus	Kamchatka leaf warbler	A
Pycnonotus jocosus	Red-whiskered bulbul	I
Pycnonotus leucotis	White-eared bulbul	possibly I<ref>{{cite web |last1=Atahan |first1=Ali |last2=Yavuz |first2=Nizamettin |last3=Boyla |first3=Kerem Ali |title=Around the Region 2017-1 |url=http://www.kustr.org/kuskayitkomitesi/osme-atr/around-the-region-2017-1/ |website=Türkiye Kuş Kayıt Komitesi |access-date=12 July 2023}}</ref>
Pycnonotus barbatus	Common bulbul	
Sylvia borin	Garden warbler	
Sylvia atricapilla	Eurasian blackcap	
Curruca nisoria	Barred warbler	
Curruca curruca	Lesser whitethroat	
Curruca hortensis	Western Orphean warbler	
Curruca crassirostris	Eastern Orphean warbler	
Curruca nana	Asian desert warbler	A
Curruca deserti	African desert warbler	A
Curruca deserticola	Tristram's warbler	A
Curruca mystacea	Menetries's warbler	A
Curruca communis	Common whitethroat	
Curruca conspicillata	Spectacled warbler	
Curruca sarda	Marmora's warbler	
Curruca balearica	Balearic warbler	E
Curruca undata	Dartford warbler	
Curruca ruppeli	Rüppell's warbler	
Curruca melanocephala	Sardinian warbler	
Curruca subalpina	Moltoni's warbler	
Curruca iberiae	Western subalpine warbler	
Curruca cantillans	Eastern subalpine warbler	
Suthora alphonsiana	Ashy-throated parrotbill	I
Suthora webbiana	Vinous-throated parrotbill	I
